base,string_id,titulo_interpretativo_string,bibtex_key_original,title,authors,year,doi,venue,status,motivo,origens,tem_abstract
PubMed,S5,PubMed S5 — Datasets de endoscopia gástrica,pmid_35428854,Deep learning model for tongue cancer diagnosis using endoscopic images,"Heo J, Lim JH, Lee HR, Jang JY, Shin YS, Kim D, Lim JY, Park YM, Koh YW, Ahn SH, Chung EJ, Lee DY, Seok J, Kim CH.",2022,10.1038/s41598-022-10287-9,Sci Rep,included,"Sinais ambíguos no abstract, mas recuperado por string forte (Pub-Med/S5) com filtro endoscopia alta + IA — confiável.",PubMed/S5,sim
PubMed,S5,PubMed S5 — Datasets de endoscopia gástrica,pmid_35891145,EIEN: Endoscopic Image Enhancement Network Based on Retinex Theory,"An Z, Xu C, Qian K, Han J, Tan W, Wang D, Fang Q.",2022,10.3390/s22145464,Sensors (Basel),included,"Sinais ambíguos no abstract, mas recuperado por string forte (Pub-Med/S5) com filtro endoscopia alta + IA — confiável.",PubMed/S5,sim
PubMed,S5,PubMed S5 — Datasets de endoscopia gástrica,pmid_39255375,Dual-stage semantic segmentation of endoscopic surgical instruments,"Chen W, Wang K, Song X, Xie D, Li X, Islam M, Li C, Duan X.",2024,10.1002/mp.17397,Med Phys,included,"Sinais ambíguos no abstract, mas recuperado por string forte (Pub-Med/S5) com filtro endoscopia alta + IA — confiável.",PubMed/S5,sim
PubMed,S5,PubMed S5 — Datasets de endoscopia gástrica,pmid_38663349,A Swin transformer encoder-based StyleGAN for unbalanced endoscopic image enhancement,"Deng B, Zheng X, Chen X, Zhang M.",2024,10.1016/j.compbiomed.2024.108472,Comput Biol Med,included,DL/CV em endoscopia com achado do trato GI alto.,PubMed/S5; ScienceDirect/S8,sim
PubMed,S5,PubMed S5 — Datasets de endoscopia gástrica,pmid_38986351,Deep Bayesian active learning-to-rank with relative annotation for estimation of ulcerative colitis severity,"Kadota T, Hayashi H, Bise R, Tanaka K, Uchida S.",2024,10.1016/j.media.2024.103262,Med Image Anal,included,DL/CV em endoscopia com achado do trato GI alto.,PubMed/S5; ScienceDirect/S8,sim
PubMed,S5,PubMed S5 — Datasets de endoscopia gástrica,pmid_40717073,"Postoperative outcome analysis of chronic rhinosinusitis using transfer learning with pre-trained foundation models based on endoscopic images: a multicenter, observational study","Gong W, Chen K, Chen X, Liu X, Li Z, Wang L, Shi Y, Liu Q, Sun X, Huang X, Luo X, Yu H.",2025,10.1186/s12938-025-01428-y,Biomed Eng Online,duplicate,Duplicata de 'Postoperative outcome analysis of chronic rhinosinusitis using transfer learning…' já presente em Scopus (VLM/FMs)/S1.,PubMed/S5,sim
PubMed,S5,PubMed S5 — Datasets de endoscopia gástrica,pmid_37949083,Using deep learning to assess the function of gastroesophageal flap valve according to the Hill classification system,"Ge Z, Fang Y, Chang J, Yu Z, Qiao Y, Zhang J, Yang X, Duan Z.",2023,10.1080/07853890.2023.2279239,Ann Med,duplicate,Duplicata de 'Using deep learning to assess the function of gastroesophageal flap valve accord…' já presente em PubMed/S2.,PubMed/S5,sim
PubMed,S5,PubMed S5 — Datasets de endoscopia gástrica,pmid_41932923,A High-Quality Endoscopic Image Dataset with Annotated Recurrent Laryngeal Nerve for AI-Assisted Thyroid Surgery,"Zheng H, Cui R, Gao J, Yan Q, Yang S, Liao Q, Hua S.",2026,10.1038/s41597-026-06961-6,Sci Data,included,"Sinais ambíguos no abstract, mas recuperado por string forte (Pub-Med/S5) com filtro endoscopia alta + IA — confiável.",PubMed/S5,sim
PubMed,S5,PubMed S5 — Datasets de endoscopia gástrica,pmid_40691412,Enhanced gastrointestinal disease classification using a convvit hybrid model on endoscopic images,Utku A.,2025,10.1007/s13246-025-01600-7,Phys Eng Sci Med,included,DL/CV em endoscopia com achado do trato GI alto.,PubMed/S5; Web of Science/S6,sim
PubMed,S5,PubMed S5 — Datasets de endoscopia gástrica,pmid_26890528,Computer-Aided Endoscopic Diagnosis Without Human-Specific Labeling,"Wang S, Cong Y, Fan H, Liu L, Li X, Yang Y, Tang Y, Zhao H, Yu H.",2016,10.1109/TBME.2016.2530141,IEEE Trans Biomed Eng,included,"Sinais ambíguos no abstract, mas recuperado por string forte (Pub-Med/S5) com filtro endoscopia alta + IA — confiável.",PubMed/S5,sim
